user_id,registration_import_datetime,user_gender,user_age,user_occupation,user_income_range,referral_code_used,user_income_source,end_of_month_invested_amount,total_buy_amount,total_sell_amount
162882,2021-09-17 14:10:44,Female,51,Swasta,> Rp 500 Juta - 1 Miliar,,Gaji,0,0,0
3485491,2021-10-09 11:11:34,Female,55,Others,> Rp 50 Juta - 100 Juta,,Gaji,0,0,0
1071649,2021-10-08 01:27:30,Male,50,Swasta,Rp 10 Juta - 50 Juta,,Gaji,0,0,0
3816789,2021-08-12 07:19:32,Female,53,IRT,> Rp 50 Juta - 100 Juta,,Gaji,600000,100000,0
3802293,2021-08-15 09:31:24,Female,47,PNS,> Rp 500 Juta - 1 Miliar,used referral,Gaji,13500000,8500000,0
3049927,2021-08-29 03:56:26,Male,53,Swasta,< 10 Juta,,Gaji,999000,149000,0
1407611,2021-09-23 20:55:59,Male,56,Swasta,> Rp 100 Juta - 500 Juta,,Keuntungan Bisnis,0,0,0
3836491,2021-08-18 11:32:25,Male,59,Others,< 10 Juta,used referral,Lainnya,10000,0,0
3783302,2021-09-14 08:16:54,Male,57,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,110431,1000000,-1889569
3718933,2021-08-09 18:59:44,Male,50,Pengusaha,> Rp 100 Juta - 500 Juta,,Keuntungan Bisnis,500000,0,0
3820348,2021-08-12 20:40:15,Male,47,Pengusaha,> Rp 100 Juta - 500 Juta,,Gaji,0,0,0
3820160,2021-08-12 19:08:59,Female,58,IRT,> Rp 50 Juta - 100 Juta,used referral,Dari Orang Tua / Anak,225000,105000,0
3770075,2021-08-06 13:41:26,Male,54,Swasta,< 10 Juta,,Gaji,50000,10000,0
3802815,2021-08-10 16:46:14,Female,53,IRT,> Rp 100 Juta - 500 Juta,,Dari Orang Tua / Anak,300000,0,0
3777767,2021-08-06 18:58:14,Male,57,Others,Rp 10 Juta - 50 Juta,,Gaji,100000,0,0
3722610,2021-08-02 19:54:07,Male,50,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,2000000,4000000,-5000000
3519434,2021-08-27 08:24:13,Female,47,IRT,< 10 Juta,,Gaji,100000,0,0
3799837,2021-08-09 16:35:49,Female,51,IRT,< 10 Juta,used referral,Keuntungan Bisnis,12000,0,0
3759446,2021-08-05 15:43:35,Female,57,IRT,< 10 Juta,used referral,Keuntungan Bisnis,0,0,-12000
3178869,2021-09-19 14:23:15,Female,51,Swasta,< 10 Juta,,Undian,50000,0,0
3787202,2021-09-02 15:12:22,Female,53,Swasta,> Rp 100 Juta - 500 Juta,,Gaji,1500000,500000,0
3783208,2021-08-07 09:51:23,Female,47,PNS,Rp 10 Juta - 50 Juta,,Gaji,100000,0,0
3744989,2021-08-03 10:09:25,Male,57,Swasta,> Rp 50 Juta - 100 Juta,,Gaji,100000,0,0
2704072,2021-10-15 14:25:53,Male,53,PNS,> Rp 100 Juta - 500 Juta,,Gaji,0,0,0
62039,2021-09-18 14:36:23,Male,47,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,0,0,0
2654591,2021-10-04 23:52:56,Female,51,PNS,< 10 Juta,,Gaji,0,0,0
3548593,2021-10-10 13:30:14,Female,55,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0,0
3792092,2021-08-08 13:10:24,Female,52,Pensiunan,Rp 10 Juta - 50 Juta,used referral,Tabungan,100000000,0,0
3837099,2021-08-15 14:15:34,Male,54,Pengusaha,> Rp 50 Juta - 100 Juta,,Gaji,75000000,65000000,0
3651209,2021-08-01 20:32:36,Female,53,Swasta,Rp 10 Juta - 50 Juta,,Gaji,100000,0,0
3852426,2021-08-17 21:48:23,Male,59,Pengusaha,> Rp 50 Juta - 100 Juta,,Keuntungan Bisnis,50000000,0,0
3676660,2021-08-01 20:32:36,Male,47,Pengusaha,< 10 Juta,,Keuntungan Bisnis,200000,0,0
